index,Unnamed: 0,FileName,age,SPLIT,SSL_SPLIT
1338,1925,35_0_0_20170117175619787.jpg.chip.jpg,35,TRAIN,EXCLUDE
4837,6929,60_0_1_20170113174854844.jpg.chip.jpg,60,TRAIN,EXCLUDE
13083,18809,30_0_0_20170117000350509.jpg.chip.jpg,30,TRAIN,EXCLUDE
12238,17599,45_0_0_20170116232841111.jpg.chip.jpg,45,TRAIN,EXCLUDE
3185,4534,25_1_0_20170103163718321.jpg.chip.jpg,25,TRAIN,EXCLUDE
8637,12380,29_1_3_20170104232621386.jpg.chip.jpg,29,TRAIN,EXCLUDE
11459,16471,60_0_0_20170119145422774.jpg.chip.jpg,60,TRAIN,EXCLUDE
5243,7489,26_0_0_20170117171705044.jpg.chip.jpg,26,TRAIN,EXCLUDE
5233,7479,34_0_0_20170117182728950.jpg.chip.jpg,34,TRAIN,EXCLUDE
1663,2397,27_1_3_20170104223208693.jpg.chip.jpg,27,TRAIN,LABELED
6963,10001,26_0_0_20170113210126011.jpg.chip.jpg,26,TRAIN,EXCLUDE
4868,6975,33_1_0_20170117174457343.jpg.chip.jpg,33,TRAIN,EXCLUDE
2176,3136,28_1_3_20170117184807423.jpg.chip.jpg,28,TRAIN,EXCLUDE
2681,3839,25_1_3_20170109132228225.jpg.chip.jpg,25,TRAIN,EXCLUDE
6485,9289,31_0_0_20170117172435086.jpg.chip.jpg,31,TRAIN,EXCLUDE
10251,14719,50_0_0_20170111201507166.jpg.chip.jpg,50,TRAIN,EXCLUDE
12609,18129,24_1_2_20170104021559044.jpg.chip.jpg,24,TRAIN,EXCLUDE
3809,5445,50_0_0_20170111171747287.jpg.chip.jpg,50,TRAIN,EXCLUDE
1734,2490,23_1_0_20170117144757777.jpg.chip.jpg,23,TRAIN,EXCLUDE
7741,11106,60_0_2_20170120221617188.jpg.chip.jpg,60,TRAIN,EXCLUDE
9964,14309,59_0_0_20170104212933919.jpg.chip.jpg,59,TRAIN,EXCLUDE
9943,14281,50_1_3_20170117151044708.jpg.chip.jpg,50,TRAIN,EXCLUDE
4552,6502,38_1_0_20170117154139859.jpg.chip.jpg,38,TRAIN,EXCLUDE
4066,5827,54_0_3_20170119201327821.jpg.chip.jpg,54,TRAIN,EXCLUDE
