ground_truth,FileName,SPLIT,SSL_SPLIT
31,11706_OliviaHussey_31_f.jpg,TRAIN,EXCLUDE
59,11684_MireilleDarc_59_f.jpg,VAL,EXCLUDE
44,7955_GilbertRoland_44_m.jpg,TRAIN,EXCLUDE
61,9352_GeorgesMarchal_61_m.jpg,VAL,EXCLUDE
28,3888_TomasMilian_28_m.jpg,VAL,EXCLUDE
8,16107_DannyGlover_8_m.jpg,TEST,EXCLUDE
34,13784_ThelmaRitter_34_f.jpg,TRAIN,EXCLUDE
74,9945_AliMacGraw_74_f.jpg,TRAIN,EXCLUDE
25,12634_HedyLamarr_25_f.jpg,VAL,EXCLUDE
62,15404_JanePowell_62_f.jpg,TRAIN,EXCLUDE
4,13911_BettyGrable_4_f.jpg,TRAIN,EXCLUDE
57,9901_RoseMarie_57_f.jpg,TEST,EXCLUDE
35,4087_DickVanDyke_35_m.jpg,TEST,EXCLUDE
61,3876_SteveMartin_61_m.jpg,TRAIN,EXCLUDE
40,1844_TomJones_40_m.jpg,VAL,EXCLUDE
24,13324_AvaGardner_24_f.jpg,TRAIN,EXCLUDE
31,10113_JaneFonda_31_f.jpg,TRAIN,EXCLUDE
50,9119_MarlonBrando_50_m.jpg,TRAIN,EXCLUDE
39,4062_ClintWalker_39_m.jpg,TRAIN,EXCLUDE
68,15141_CatherineSchell_68_f.jpg,TEST,EXCLUDE
52,12473_AnnaMassey_52_f.jpg,TEST,EXCLUDE
54,4760_MichelPiccoli_54_m.jpg,TRAIN,EXCLUDE
42,13206_MichellePfeiffer_42_f.jpg,TRAIN,EXCLUDE
36,9578_MarcelloMastroianni_36_m.jpg,TRAIN,EXCLUDE
24,10244_LivUllmann_24_f.jpg,TRAIN,LABELED
16,718_RonaldReagan_16_m.jpg,TEST,EXCLUDE
70,3471_LeslieCaron_70_m.jpg,TRAIN,EXCLUDE
37,4536_DustinHoffman_37_m.jpg,TRAIN,LABELED
56,5080_AnthonyHopkins_56_m.jpg,TRAIN,EXCLUDE
46,4100_DickVanDyke_46_m.jpg,TRAIN,LABELED
33,11707_OliviaHussey_33_f.jpg,TRAIN,EXCLUDE
45,5673_RayDanton_45_m.jpg,TRAIN,EXCLUDE
67,2445_ChevyChase_67_m.jpg,TRAIN,EXCLUDE
45,6612_LouCostello_45_m.jpg,TRAIN,EXCLUDE
47,10356_AnitaEkberg_47_f.jpg,TRAIN,EXCLUDE
28,1871_AlanYoung_28_m.jpg,TRAIN,EXCLUDE
53,15269_DyanCannon_53_f.jpg,TRAIN,EXCLUDE
67,9975_ElkeSommer_67_f.jpg,TRAIN,EXCLUDE
67,7776_AlbertoSordi_67_m.jpg,TRAIN,EXCLUDE
52,13156_JaneWyman_52_f.jpg,TRAIN,EXCLUDE
49,2308_SamNeill_49_m.jpg,TRAIN,EXCLUDE
57,1271_IlyaPrigogine_57_m.jpg,TRAIN,EXCLUDE
68,697_GeorgeHWBush_68_m.jpg,VAL,EXCLUDE
59,15061_BettyGarrett_59_f.jpg,TEST,EXCLUDE
34,3722_RogerAllam_34_m.jpg,TRAIN,EXCLUDE
59,3587_MichaelYork_59_m.jpg,VAL,EXCLUDE
52,16125_SamuelJacksonn_52_m.jpg,TRAIN,EXCLUDE
25,9672_MegRyan_25_f.jpg,TRAIN,EXCLUDE
26,2871_SamElliott_26_m.jpg,TRAIN,EXCLUDE
37,12657_IsabelleHuppert_37_f.jpg,TRAIN,EXCLUDE
49,13196_MichellePfeiffer_49_f.jpg,TRAIN,EXCLUDE
44,15872_StВphaneAudran_44_f.jpg,TEST,EXCLUDE
35,789_akistsoxatzopoulos_35_m.jpg,TRAIN,EXCLUDE
47,5131_ArmandAssante_47_m.jpg,TRAIN,EXCLUDE
62,3825_StacyKeach_62_m.jpg,TRAIN,LABELED
78,4005_BurtReynolds_78_m.jpg,TRAIN,EXCLUDE
69,7049_DavidNiven_69_m.jpg,TRAIN,EXCLUDE
44,11038_EmmaThompson_44_f.jpg,TRAIN,LABELED
67,10363_AnitaEkberg_67_f.jpg,TRAIN,EXCLUDE
63,8777_AlecGuinness_63_m.jpg,TRAIN,EXCLUDE
33,6580_LexBarker_33_m.jpg,TRAIN,EXCLUDE
38,6452_JohnVernon_38_m.jpg,VAL,EXCLUDE
35,9921_AliMacGraw_35_f.jpg,TRAIN,EXCLUDE
72,2486_ClaudeRich_72_m.jpg,VAL,EXCLUDE
40,13674_LilliPalmer_40_f.jpg,TRAIN,EXCLUDE
39,8499_AlejandroRey_39_m.jpg,TRAIN,EXCLUDE
47,13107_GretaGarbo_47_f.jpg,TRAIN,EXCLUDE
39,5558_PatrickStewart_39_m.jpg,TRAIN,EXCLUDE
50,8147_LorneGreene_50_m.jpg,TEST,EXCLUDE
52,5292_JackNicolson_52_m.jpg,TEST,EXCLUDE
19,12544_AlikiBoug_19_f.jpg,VAL,EXCLUDE
44,9280_BurtLancaster_44_m.jpg,TRAIN,EXCLUDE
33,9338_GeorgesMarchal_33_m.jpg,TRAIN,EXCLUDE
81,15698_KathrynGrayson_81_f.jpg,VAL,EXCLUDE
38,12420_AngieDickinson_38_f.jpg,TRAIN,EXCLUDE
18,11354_VirnaLisi_18_f.jpg,VAL,EXCLUDE
40,14184_GeraldinePage_40_f.jpg,TRAIN,EXCLUDE
29,6782_RowanAtkinson_29_m.jpg,TRAIN,EXCLUDE
39,11670_MireilleDarc_39_f.jpg,TEST,EXCLUDE
56,8847_ArnoldSchwarzenegger_56_m.jpg,VAL,EXCLUDE
81,278_PabloPicasso_81_m.jpg,VAL,EXCLUDE
41,3216_EliWallach_41_m.jpg,VAL,EXCLUDE
58,2898_SamElliott_58_m.jpg,TRAIN,EXCLUDE
26,11300_SophiaLoren_26_f.jpg,TRAIN,EXCLUDE
54,4072_ClintWalker_54_m.jpg,TRAIN,EXCLUDE
59,5786_BenGazzara_59_m.jpg,TRAIN,EXCLUDE
64,2631_JamesWoods_64_m.jpg,TRAIN,EXCLUDE
43,1196_ErnestRutherford_43_m.jpg,VAL,EXCLUDE
75,10986_DonnaDouglas_75_f.jpg,TRAIN,EXCLUDE
86,2130_MelBrooks_86_m.jpg,TRAIN,EXCLUDE
48,13290_AmandaRedman_48_f.jpg,VAL,EXCLUDE
19,76_PaulAnka_19_m.jpg,TRAIN,EXCLUDE
34,7910_GeorgePeppard_34_m.jpg,VAL,EXCLUDE
46,9729_DorisDay_46_f.jpg,TEST,EXCLUDE
38,734_RonaldReagan_38_m.jpg,TRAIN,EXCLUDE
73,4156_GenaRowlands_73_m.jpg,VAL,EXCLUDE
31,4929_StevenBerkoff_31_m.jpg,TRAIN,EXCLUDE
77,13513_GladysCooper_77_f.jpg,TEST,EXCLUDE
44,3431_KevinSpacey_44_m.jpg,TRAIN,EXCLUDE
62,4201_HarveyKeitel_62_m.jpg,TRAIN,EXCLUDE
24,14273_JoanCrawford_24_f.jpg,TEST,EXCLUDE
32,8582_DavidCarradine_32_m.jpg,TRAIN,EXCLUDE
70,12432_AngieDickinson_70_f.jpg,TRAIN,EXCLUDE
35,2370_AlainDelon_35_m.jpg,TRAIN,EXCLUDE
54,5359_JohnDerek_54_m.jpg,TRAIN,EXCLUDE
53,6354_JamesArness_53_m.jpg,TRAIN,EXCLUDE
50,12007_CybillShepherd_50_f.jpg,TRAIN,EXCLUDE
50,16459_Tyson_50_f.jpg,TRAIN,EXCLUDE
37,3601_MikeConnors_37_m.jpg,TRAIN,EXCLUDE
68,3595_MichaelYork_68_m.jpg,TEST,EXCLUDE
59,7883_FredAstaire_59_m.jpg,TRAIN,EXCLUDE
65,5312_JackLemon_65_m.jpg,TRAIN,EXCLUDE
19,2133_MelGibson_19_m.jpg,VAL,EXCLUDE
36,16070_WillSmith _36_m.jpg,TRAIN,EXCLUDE
68,8028_HenryFonda_68_m.jpg,TRAIN,EXCLUDE
21,882_WinstonChurchill_21_m.jpg,VAL,EXCLUDE
22,15994_MuhammadAli_22_m.jpg,VAL,EXCLUDE
25,211_ElvisPresley_25_m.jpg,TRAIN,EXCLUDE
29,4613_JamesGarner_29_m.jpg,TEST,EXCLUDE
38,8112_LeslieNielsen_38_m.jpg,TRAIN,EXCLUDE
41,6139_DanaAndrews_41_m.jpg,TRAIN,EXCLUDE
35,5305_JackLemon_35_m.jpg,TRAIN,EXCLUDE
43,7188_JohnWayne_43_m.jpg,TRAIN,EXCLUDE
29,9421_Thanasisveggos_29_m.jpg,TRAIN,EXCLUDE
58,5613_PeterFalk_58_m.jpg,TRAIN,EXCLUDE
61,8155_LorneGreene_61_m.jpg,TRAIN,EXCLUDE
70,3713_RingoStarr_70_m.jpg,TRAIN,EXCLUDE
